Sample_Index,col0,col1
971,22582,-2176
972,-969,23413
973,-19391,-3209
974,10300,-18559
975,19507,14203
976,-13254,-19579
977,20528,-9334
978,5166,21376
979,-21447,2943
980,-966,-27763
981,21552,3980
982,-9163,18308
983,-16323,-14452
984,18484,-15468
985,15405,20363
986,-20425,8072
987,25643,-3190
988,42,21376
989,-23498,-4221
990,8242,-21618
991,16426,15239
992,-14287,18303
993,-12233,-15481
994,21549,-9332
995,3116,25472
996,-21449,-2174
997,6196,-24689
998,17452,7052
999,-17355,-11374
1000,20523,-17509
1001,16419,18323
1002,-25552,8080
1003,-5069,-21605
1004,26662,-100
1005,-3032,25488
1006,-24524,-9323
1007,9264,-19553
1008,19495,21397
1009,-14290,16270
1010,23587,-8301
1011,6176,20362
1012,-25555,1929
1013,4139,-22635
1014,25631,5011
1015,-11227,22409
1016,-19409,-17518
1017,21541,-16485
1018,11296,22417
1019,-22485,11148
1020,-3027,-25703
1021,24609,6039
1022,-21460,-9316
1023,8232,-21593
1024,19487,13217
1025,-18392,14235
1026,-13265,-25688
1027,24611,-3158
1028,5153,32667
1029,-23507,922
1030,7210,-27736
1031,23583,11171
1032,-19415,20378
1033,16417,-15454
1034,14362,25494
1035,-25561,10130
1036,38,-17509
1037,27673,-1124
1038,24,21394
1039,-24540,-11368
1040,13342,-21597
1041,16406,16284
1042,-18401,18324
1043,-11227,-22624
1044,24601,-8283
1045,-23515,-5208
1046,5155,-29769
1047,23576,5045
1048,-9187,27560
1049,-17370,-15440
1050,24602,-11338
1051,16402,22444
1052,-20452,6058
1053,-2019,-31814
1054,23570,953
1055,-9193,25517
1056,15376,-20552
1057,28674,15281
1058,-14327,18345
1059,-13296,-25674
1060,30721,-12355
1061,5119,23474
1062,-26611,945
1063,9225,-22595
1064,27644,11192
1065,-9215,29610
1066,-18422,-23626
1067,23551,-16449
1068,-27635,15288
1069,-6128,-27706
1070,36862,3013
1071,-4095,27576
1072,-27633,-11330
1073,15368,-23606
1074,22525,15299
1075,-19449,13245
1076,-15345,-25654
1077,25603,-9265
1078,2050,33727
1079,4096,-34863
1080,26611,9165
1081,-11271,24514
1082,-26617,-14390
1083,19454,-16429
1084,12281,26567
1085,-23547,13249
1086,-1018,-21556
1087,29688,-4145
1088,-8195,27586
1089,-28660,-14390
1090,13318,-29735
