Sample_Index,col0,col1
862,-8376,22621
863,2986,25898
864,13672,21734
865,24048,8788
866,25670,-8095
867,13744,-22111
868,-3150,-25090
869,-16203,-18576
870,-23942,-8119
871,-23568,7434
872,-14524,22699
873,-1863,27929
874,12791,23109
875,24291,9462
876,21898,-10778
877,4567,-24371
878,-17976,-17983
879,-25485,4973
880,-4157,22436
881,21266,14689
882,21536,-9903
883,5866,-25743
884,-10334,-22187
885,-22691,-9437
886,-25438,2139
887,-21405,13182
888,-13108,22043
889,2531,22584
890,16547,17720
891,22641,11004
892,26352,1162
893,25971,-8304
894,17827,-16830
895,6303,-24837
896,-3848,-25934
897,-11478,-21623
898,-17794,-17776
899,-22043,-14990
900,-23794,-12911
901,-24914,-2705
902,-19948,16266
903,-5659,25927
904,9073,23897
905,20425,13749
906,23602,-9204
907,6213,-24329
908,-18749,-13538
909,-22779,5920
910,-7790,20697
911,8938,25717
912,22800,15636
913,29687,2205
914,25688,-8394
915,14510,-20460
916,388,-26340
917,-9919,-26331
918,-12018,-27623
919,-14388,-23346
920,-21230,-14800
921,-24651,-12101
922,-23795,-11637
923,-21737,-12708
924,-14325,-21244
925,-1318,-27958
926,10869,-23232
927,18223,-15065
928,21811,-10618
929,25343,-6859
930,27165,633
931,24025,12507
932,20526,19928
933,18749,17009
934,16753,16245
935,15876,23469
936,11660,26393
937,1331,24450
938,-7498,24360
939,-14502,19305
940,-23364,9054
941,-28805,3852
942,-28216,-371
943,-24993,-10183
944,-20673,-17250
945,-14208,-19891
946,-6320,-26268
947,-144,-30639
948,9537,-23449
949,25156,-8910
950,27528,7698
951,7237,21587
952,-15260,20813
953,-22320,1990
954,-12223,-19012
955,8223,-22796
956,24022,-6728
957,22937,14693
958,5116,26849
959,-16265,22610
960,-24908,3334
961,-17462,-17425
962,1784,-24455
963,23087,-13237
964,24653,8415
965,711,21005
966,-22647,10920
967,-23216,-10834
968,-5907,-24108
969,11916,-22824
970,21553,-12582
971,24605,899
972,19922,12217
973,9337,18091
974,-637,21383
975,-13806,18485
976,-26928,3187
977,-24125,-12726
978,-9145,-20222
979,7204,-22608
980,23067,-10670
981,23813,13363
982,6212,26067
983,-8504,24810
984,-17358,14997
985,-23731,-5953
986,-15927,-23112
987,2110,-25059
988,18124,-17334
989,26589,1440
990,15080,21335
991,-11022,19548
992,-23686,-901
993,-14279,-19103
994,6187,-23015
995,23462,-10190
996,22733,11377
997,6298,26133
998,-11601,23008
999,-23028,4058
1000,-19986,-17034
1001,-829,-26658
1002,19285,-15877
1003,20561,11985
1004,-3516,27309
1005,-27672,6933
1006,-17849,-21776
1007,13953,-20504
1008,26619,4690
1009,9389,24947
1010,-14965,23135
1011,-22687,213
1012,-9392,-22809
1013,13754,-22547
1014,25843,2622
1015,5436,25092
1016,-23140,8957
