Sample_Index,col0,col1
1177,-50976,34225
1178,-59139,35232
1179,-50922,34192
1180,-30427,51575
1181,-27341,50527
1182,-37562,46409
1183,-53919,26940
1184,-53892,22833
1185,-52842,38175
1186,-48722,40204
1187,-42557,59631
1188,-29230,46297
1189,-21027,47298
1190,-26134,48299
1191,-13839,55440
1192,2544,59507
1193,30178,55384
1194,42446,37958
1195,38332,44081
1196,34220,57365
1197,22945,62455
1198,21911,50143
1199,45441,41931
1200,47466,40888
1201,53584,26540
1202,52535,20387
1203,63768,10143
1204,56573,-4190
1205,55522,-23634
1206,52425,-44092
1207,27836,-52258
1208,24752,-59396
1209,37022,-41967
1210,39051,-43993
1211,38009,-53183
1212,36967,-40875
1213,29785,-51090
1214,9301,-67441
1215,6226,-52055
1216,-5035,-56123
1217,-17314,-49954
1218,-30611,-47882
1219,-54136,-40694
1220,-57180,-27368
1221,-48964,-33495
1222,-42799,-44737
1223,-26402,-48809
1224,-21271,-62090
1225,-28425,-57965
1226,-21246,-52819
1227,-765,-60981
1228,-1788,-69139
1229,8448,-62964
1230,14585,-57815
1231,6390,-64951
1232,-11012,-56731
1233,-29429,-54656
1234,-5874,-59746
1235,-753,-66881
1236,13577,-58660
1237,19712,-52490
1238,24820,-65769
1239,243,-57548
1240,-9992,-59566
1241,-21245,-64654
1242,-38634,-40058
1243,-36568,-41061
1244,-50879,-27735
1245,-60065,2984
1246,-52871,36759
1247,-47727,32648
1248,-42586,38774
1249,-42565,25450
1250,-39473,20321
1251,-51735,37711
1252,-35333,62257
1253,2554,55063
1254,10741,52990
1255,20971,46824
1256,27102,42708
1257,45512,18124
1258,59819,-15660
1259,38297,-52498
1260,7574,-58613
1261,405,-56537
1262,-9830,-57532
1263,-23130,-52386
1264,-41541,-40078
1265,-65061,-3212
1266,-41488,32613
1267,-13833,58185
1268,-3591,57134
1269,27116,51989
1270,55761,20236
1271,42429,-36066
1272,-4672,-57541
1273,-51750,-52395
1274,-49677,-26781
1275,-50676,1890
1276,-45533,2913
1277,-40393,32594
1278,7732,59190
1279,57880,30504
1280,60923,-2262
1281,45541,-28871
1282,33237,-49326
